"time (UTC)","Vb_max_daily","Vb_min_daily","Whc_daily","alarm_daily"
"2020-09-19T09:01:43.000+00:00","50.78","50.38","1440","RTS Open, Controller was Reset"
"2020-09-20T01:01:43.000+00:00","50.78","50.55","570","RTS Open, Controller was Reset"
"2020-09-21T01:01:43.000+00:00","51.22","50.59","4130","RTS Open"
"2020-09-22T01:01:43.000+00:00","51.15","50.89","1440","RTS Open"
"2020-09-23T00:01:43.000+00:00","51.69","51.00","4820","RTS Open, Controller was Reset"
"2020-09-24T00:01:43.000+00:00","51.98","51.34","4270","RTS Open"
"2020-09-25T00:01:43.000+00:00","52.44","51.71","4240","RTS Open"
"2020-09-25T22:01:43.000+00:00","53.28","52.37","4560","RTS Open, Controller was Reset"
"2020-09-26T02:01:43.000+00:00","53.81","53.03","1600","RTS Open"
"2020-09-27T03:01:43.000+00:00","53.60","53.38","0","RTS Open, Controller was Reset"
"2020-09-28T04:01:43.000+00:00","53.40","53.25","0","RTS Open"
"2020-09-29T05:01:43.000+00:00","53.27","53.13","0","RTS Open"
"2020-09-30T06:01:43.000+00:00","53.15","53.06","0","RTS Open"
"2020-09-30T07:01:43.000+00:00","53.09","53.04","0","RTS Open"
"2020-09-30T21:01:43.000+00:00","53.11","53.00","30","RTS Open"
"2020-10-01T07:01:43.000+00:00","54.14","52.99","2120","RTS Open"
"2020-10-02T00:01:43.000+00:00","54.07","53.27","40","RTS Open, Controller was Reset"
"2020-10-02T14:01:43.000+00:00","53.10","52.94","80","RTS Open, Controller was Reset"
"2020-10-03T02:01:43.000+00:00","54.51","52.94","5440","RTS Open"
"2020-10-03T16:01:43.000+00:00","53.07","52.92","10","RTS Open, Controller was Reset"
"2020-10-04T03:01:43.000+00:00","53.46","52.90","1160","RTS Open"
"2020-10-04T11:01:43.000+00:00","54.03","53.31","2360","RTS Open, Controller was Reset"
"2020-10-04T23:01:43.000+00:00","54.00","53.79","0","RTS Open, Controller was Reset"
"2020-10-05T23:01:43.000+00:00","54.02","53.76","700","RTS Open"
"2020-10-06T13:01:43.000+00:00","53.76","53.03","20","RTS Open, Controller was Reset"
"2020-10-07T13:01:43.000+00:00","54.02","53.01","3900","RTS Open"
"2020-10-07T15:01:43.000+00:00","53.01","52.79","450","RTS Open, Controller was Reset"
"2020-10-08T05:01:43.000+00:00","52.87","52.33","120","RTS Open, Controller was Reset"
"2020-10-08T08:01:43.000+00:00","52.51","52.31","290","RTS Open"
"2020-10-08T10:01:43.000+00:00","52.83","52.34","460","RTS Open, Controller was Reset"
"2020-10-08T11:01:43.000+00:00","52.80","52.33","620","RTS Open, Controller was Reset"
"2020-10-09T02:01:43.000+00:00","52.59","52.04","460","RTS Open, Controller was Reset"
"2020-10-09T09:01:43.000+00:00","52.86","52.00","2350","RTS Open"
"2020-10-10T01:01:43.000+00:00","52.70","52.00","820","RTS Open, Controller was Reset"
"2020-10-11T01:01:43.000+00:00","52.13","51.59","1270","RTS Open"
"2020-10-12T01:01:43.000+00:00","52.20","51.51","3350","RTS Open, Controller was Reset"
"2020-10-12T22:01:43.000+00:00","52.67","52.06","780","RTS Open, Controller was Reset"
"2020-10-13T06:01:43.000+00:00","52.89","52.06","3450","RTS Open"
"2020-10-13T21:01:43.000+00:00","52.78","52.09","450","RTS Open, Controller was Reset"
"2020-10-14T15:01:43.000+00:00","80.19","54.91","130","RTS Open, Controller was Reset"
"2020-10-14T20:01:43.000+00:00","52.81","52.60","440","RTS Open, Controller was Reset"
"2020-10-14T23:01:43.000+00:00","52.65","52.50","150","RTS Open, Controller was Reset"
"2020-10-15T10:01:43.000+00:00","52.52","52.14","0","RTS Open, Controller was Reset"
"2020-10-15T15:01:43.000+00:00","52.17","52.00","230","RTS Open"
"2020-10-15T18:01:43.000+00:00","55.93","55.87","0","RTS Open, Controller was Reset"
"2020-10-15T19:01:43.000+00:00","52.05","51.95","140","RTS Open, Controller was Reset"
"2020-10-16T08:01:43.000+00:00","51.97","51.64","10","RTS Open, Controller was Reset"
"2020-10-16T10:01:43.000+00:00","51.70","51.63","150","RTS Open"
"2020-10-16T19:01:43.000+00:00","52.51","51.61","5520","RTS Open, Controller was Reset"